filename,time,speed
Xiaomi SU7 Ultra20260819_145643.066.jpg,05:46.72,234
Xiaomi SU7 Ultra20260819_145644.065.jpg,05:47.72,247
Xiaomi SU7 Ultra20260819_145645.065.jpg,05:48.72,249
Xiaomi SU7 Ultra20260819_145646.064.jpg,05:49.72,214
Xiaomi SU7 Ultra20260819_145647.064.jpg,05:50.72,184
Xiaomi SU7 Ultra20260819_145648.068.jpg,05:51.72,164
Xiaomi SU7 Ultra20260819_145649.072.jpg,05:52.72,153
Xiaomi SU7 Ultra20260819_145650.065.jpg,05:53.72,157
Xiaomi SU7 Ultra20260819_145651.067.jpg,05:54.72,154
Xiaomi SU7 Ultra20260819_145652.067.jpg,05:55.72,125
Xiaomi SU7 Ultra20260819_145653.067.jpg,05:56.72,116
Xiaomi SU7 Ultra20260819_145654.066.jpg,05:57.72,122
Xiaomi SU7 Ultra20260819_145655.066.jpg,05:58.72,136
Xiaomi SU7 Ultra20260819_145656.065.jpg,05:59.72,156
Xiaomi SU7 Ultra20260819_145657.064.jpg,06:00.72,168
Xiaomi SU7 Ultra20260819_145658.068.jpg,06:01.72,126
Xiaomi SU7 Ultra20260819_145659.065.jpg,06:02.72,104
Xiaomi SU7 Ultra20260819_145700.067.jpg,06:03.72,99
Xiaomi SU7 Ultra20260819_145701.064.jpg,06:04.72,103
Xiaomi SU7 Ultra20260819_145702.064.jpg,06:05.72,115
Xiaomi SU7 Ultra20260819_145703.068.jpg,06:06.72,138
Xiaomi SU7 Ultra20260819_145704.071.jpg,06:07.72,161
Xiaomi SU7 Ultra20260819_145705.067.jpg,06:08.72,183
Xiaomi SU7 Ultra20260819_145706.066.jpg,06:09.72,200
Xiaomi SU7 Ultra20260819_145707.069.jpg,06:10.72,165
Xiaomi SU7 Ultra20260819_145708.071.jpg,06:11.72,146
Xiaomi SU7 Ultra20260819_145709.066.jpg,06:12.72,142
Xiaomi SU7 Ultra20260819_145710.065.jpg,06:13.72,149
Xiaomi SU7 Ultra20260819_145711.067.jpg,06:14.72,160
Xiaomi SU7 Ultra20260819_145712.067.jpg,06:15.72,156
Xiaomi SU7 Ultra20260819_145713.065.jpg,06:16.72,155
Xiaomi SU7 Ultra20260819_145714.065.jpg,06:17.72,150
Xiaomi SU7 Ultra20260819_145715.068.jpg,06:18.72,161
Xiaomi SU7 Ultra20260819_145716.068.jpg,06:19.72,181
Xiaomi SU7 Ultra20260819_145717.065.jpg,06:20.72,198
Xiaomi SU7 Ultra20260819_145718.068.jpg,06:21.72,211
Xiaomi SU7 Ultra20260819_145719.066.jpg,06:22.72,226
Xiaomi SU7 Ultra20260819_145720.069.jpg,06:23.72,240
Xiaomi SU7 Ultra20260819_145721.071.jpg,06:24.72,251
Xiaomi SU7 Ultra20260819_145722.069.jpg,06:25.72,263
Xiaomi SU7 Ultra20260819_145723.068.jpg,06:26.72,274
Xiaomi SU7 Ultra20260819_145724.066.jpg,06:27.72,284
Xiaomi SU7 Ultra20260819_145725.064.jpg,06:28.72,292
Xiaomi SU7 Ultra20260819_145726.065.jpg,06:29.72,300
Xiaomi SU7 Ultra20260819_145727.066.jpg,06:30.72,306
Xiaomi SU7 Ultra20260819_145728.065.jpg,06:31.72,313
Xiaomi SU7 Ultra20260819_145729.067.jpg,06:32.72,318
Xiaomi SU7 Ultra20260819_145730.068.jpg,06:33.72,323
Xiaomi SU7 Ultra20260819_145731.072.jpg,06:34.72,328
Xiaomi SU7 Ultra20260819_145732.067.jpg,06:35.72,332
Xiaomi SU7 Ultra20260819_145733.065.jpg,06:36.72,336
Xiaomi SU7 Ultra20260819_145734.068.jpg,06:37.72,338
