No.,MM,SS,FF,SPEED,G,Max G,Min G
169,2,47,32,113,0.03,,
170,2,48,32,123,0.28,,
171,2,49,32,140,0.48,,
172,2,50,32,157,0.48,,
173,2,51,32,145,-0.34,,
174,2,52,32,115,-0.85,,
175,2,53,32,111,-0.11,,
176,2,54,32,126,0.43,,
177,2,55,32,147,0.60,,
178,2,56,32,172,0.71,,
179,2,57,32,197,0.71,,
180,2,58,32,221,0.68,,
