frame,t_lap,ocr
507,101.4,GPSSpeedkm/h 207
508,101.6,GPSSpeedkm/h 211
509,101.8,GPSSpeedkm/h 215
510,102.0,GPSSpeedkm/h 220
511,102.2,GPSSpeedkm/h 225
512,102.4,GPSSpeedkm/h 228
513,102.6,GPSSpeedkm/h 231
514,102.8,GPSSpeedkm/h 235
515,103.0,GPSSpeedkm/h 239
516,103.2,GPSSpeedkm/h 242
517,103.4,GPSSpeedkm/h 245
518,103.6,GPSSpeedkm/h 248
519,103.8,GPSSpeedkm/h 251
520,104.0,GPSSpeedkm/h 254
521,104.2,GPSSpeedkm/h 257
522,104.4,GPSSpeedkm/h 260
523,104.6,GPSSpeedkm/h 263
524,104.8,GPSSpeedkm/h 265
525,105.0,GPSSpeedkm/h 268
526,105.2,GPSSpeedkm/h 271
527,105.4,GPSSpeedkm/h 274
528,105.6,GPSSpeedkm/h 275
529,105.8,GPSSpeedkm/h 277
530,106.0,GPSSpeedkm/h 279
531,106.2,GPSSpeedkm/h 274
532,106.4,GPSSpeedkm/h 267
533,106.6,GPSSpeedkm/h 258
534,106.8,GPSSpeedkm/h 252
535,107.0,GPSSpeedkm/h 242
536,107.2,GPSSpeedkm/h 230
537,107.4,GPSSpeedkm/h 221
538,107.6,GPSSpeedkm/h 214
539,107.8,GPSSpeedkm/h 209
540,108.0,GPSSpeedkm/h 203
541,108.2,GPSSpeedkm/h 199
542,108.4,GPSSpeedkm/h 196
543,108.6,GPSSpeedkm/h 192
544,108.8,GPSSpeedkm/h 189
545,109.0,GPSSpeedkm/h 187
546,109.2,GPSSpeedkm/h 188
547,109.4,GPSSpeedkm/h 188
548,109.6,GPSSpeedkm/h 191
549,109.8,GPSSpeedkm/h 193
550,110.0,GPSSpeedkm/h 197
551,110.2,GPSSpeedkm/h 199
552,110.4,GPSSpeedkm/h 203
553,110.6,GPSSpeedkm/h 209
554,110.8,GPSSpeedkm/h 213
555,111.0,GPSSpeedkm/h 216
556,111.2,GPSSpeedkm/h 209
557,111.4,GPSSpeedkm/h 201
558,111.6,GPSSpeedkm/h 188
559,111.8,GPSSpeedkm/h 179
560,112.0,GPSSpeedkm/h 169
561,112.2,GPSSpeedkm/h 158
562,112.4,GPSSpeedkm/h 146
563,112.6,GPSSpeedkm/h 138
564,112.8,GPSSpeedkm/h 132
565,113.0,GPSSpeedkm/h 127
566,113.2,GPSSpeedkm/h 123
567,113.4,GPSSpeedkm/h 120
568,113.6,GPSSpeedkm/h 118
569,113.8,GPSSpeedkm/h 116
570,114.0,GPSSpeedkm/h 115
571,114.2,GPSSpeedkm/h 116
572,114.4,GPSSpeedkm/h 117
573,114.6,GPSSpeedkm/h 118
574,114.8,GPSSpeedkm/h 119
575,115.0,GPSSpeedkm/h 122
576,115.2,GPSSpeedkm/h 126
