t_s,speed_kmh
369.60,298.0
369.80,293.0
370.00,287.0
370.20,282.0
370.40,280.0
370.60,278.0
370.80,277.0
371.20,272.0
371.40,269.0
371.60,263.0
371.80,255.0
372.20,231.0
372.40,219.0
372.60,212.0
373.60,170.0
373.80,160.0
374.40,133.0
374.60,123.0
375.00,107.0
375.20,102.0
375.40,99.0
375.60,95.0
376.20,92.0
376.40,95.0
376.60,98.0
377.00,108.0
377.20,115.0
377.60,122.0
377.80,122.0
378.00,122.0
378.20,122.0
378.60,122.0
378.80,123.0
379.00,126.0
379.20,126.0
379.40,119.0
379.80,183.0
380.20,102.0
380.40,100.0
380.60,97.0
380.80,95.0
381.00,95.0
382.00,98.0
